Procedure Code,Procedure,Note
A,"Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
1. Rinse with ambient temperature fresh water for 20 minutes (Flushing of tank bottom and lines)
2. Vent, mop and dry",Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
A+,"Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
1. Rinse with ambient temperature fresh water for 20 minutes (Flushing of tank bottom and lines)
2. Vent, mop and dry 3. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
A-,"Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
1. Rinse with ambient temperature fresh water for 20 minutes (Flushing of tank bottom and lines)
2. Vent, mop and dry 3.Cargo to be loaded requires a less intensive cleaning than the procedure shown.",Flushing of tanks and lines is advisable because liquid ROB is difficult to remove by ventilation only.
AB,"1. Butterworth with ambient temperature sea water or fresh water for 30 minutes
2. Rinse with ambient temperature fresh water for 20 minutes (In case sea water has been used in step 1)
3. Vent, mop and dry",
AB+,"1. Butterworth with ambient temperature sea water or fresh water for 30 minutes
2. Rinse with ambient temperature fresh water for 20 minutes (In case sea water has been used in step 1)
3. Vent, mop and dry
4. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
AB-,"1. Butterworth with ambient temperature sea water or fresh water for 30 minutes
2. Rinse with ambient temperature fresh water for 20 minutes (In case sea water has been used in step 1)
3. Vent, mop and dry
4. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
AC,"Keep tank pressurized with nitrogen. Fill approximately 5 m³ of cold fresh water slowly into the tank via the loading line. Tank pressure decreases as the PO is absorbed. Pump water/PO mixture out. Don’t use BW machines !!! PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank. Eliminate all ignition sources.

1. Fill (Fill slowly 5 m³ cold fresh water over the loading line into the cargo tank. Thereafter pump PO/water slop out.)
2. Ventilation (Ventilate until tank is gas free)
3. Butterworth with ambient temperature fresh water for 40 minutes (Never start butterworth machines before tank is gas free because PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank.)
4. Vent, mop and dry",
AC+,"Keep tank pressurized with nitrogen. Fill approximately 5 m³ of cold fresh water slowly into the tank via the loading line. Tank pressure decreases as the PO is absorbed. Pump water/PO mixture out. Don’t use BW machines !!! PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank. Eliminate all ignition sources.

1. Fill (Fill slowly 5 m³ cold fresh water over the loading line into the cargo tank. Thereafter pump PO/water slop out.)
2. Ventilation (Ventilate until tank is gas free)
3. Butterworth with ambient temperature fresh water for 40 minutes (Never start butterworth machines before tank is gas free because PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank.)
4. Vent, mop and dry
5. Cargo to be loaded requires an ultra-high cleanliness standard. Additional cleaning will usually be necessary to pass the wall wash standard.",
AC-,"Keep tank pressurized with nitrogen. Fill approximately 5 m³ of cold fresh water slowly into the tank via the loading line. Tank pressure decreases as the PO is absorbed. Pump water/PO mixture out. Don’t use BW machines !!! PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank. Eliminate all ignition sources.

1. Fill (Fill slowly 5 m³ cold fresh water over the loading line into the cargo tank. Thereafter pump PO/water slop out.)
2. Ventilation (Ventilate until tank is gas free)
3. Butterworth with ambient temperature fresh water for 40 minutes (Never start butterworth machines before tank is gas free because PO vapours are highly soluble in water, which could cause a vacuum-collapse of the tank.)
4. Vent, mop and dry
5. Cargo to be loaded requires a less intensive cleaning than the procedure shown.",
B,"1. Butterworth with ambient temperature sea water for 1 hour
2. Rinse with ambient temperature fresh water for 20 minutes
3. Vent, mop and dry",
